movieId;movieName;releaseDate
1;Hukkunud Alpinisti hotell;1979
2;68;1988
3;71;2014
4;Til There Was You;1997
5;(500) Days of Summer;2009
6;(Sex) Appeal;2014
7;*batteries not included;1987
8;...And Justice for All.;1979
9;...tick...tick...tick...;1970
10;.45;2006
11;0.5 mm;2014
12;10;1979
13;10 Cloverfield Lane;2016
14;10 Items or Less;2006
15;10 Questions for the Dalai Lama;2006
16;10 Things I Hate About You;1999
17;100 Days;1991
18;10000 Years Later;2015
19;101 Dalmatians;1996
20;101 Reykjavík;2000
21;102 Dalmatians;2000
22;108 Demon Kings;2015
23;10th & Wolf;2006
24;10½;2010
25;"11'09""01 September 11";2002
26;11:14;2003
27;12;2007
28;12 Angry Men;1957
29;12 Citizens;2014
30;12 Monkeys;1995
31;12 Years A Slave;2013
32;12 and Holding;2006
33;125 Years Memory;2015
34;127 Hours;2010
35;13;2010
36;13 Ghosts;1960
37;13 Going on 30;2004
38;13 Hours: The Secret Soldiers of Benghazi;2016
39;13th;2016
40;1408;2007
41;1492: Conquest of Paradise;1992
42;15 Minutes;2001
43;15: The Movie;2003
44;16 Blocks;2006
45;16 December;2002
46;16 Wishes;2010
47;17 Again;2009
48;1776;1972
49;1900;1976
50;1941;1979
51;1969;1988
52;1984;1984
53;1985;2018
54;1991: The Year Punk Broke;1992
55;1995;1995
56;2 Days in New York;2012
57;2 Fast 2 Furious;2003
58;2 Fast 2 Furious;2004
59;2001: A Space Odyssey;1968
60;2010;1984
61;2012;2009
62;2015;2015
63;2036: Nexus Dawn;2017
64;2046;2004
65;2048: Nowhere to Run;2017
66;2081;2009
67;21;2008
68;21 Grams;2003
69;21 Jump Street;2012
70;21 Up;1977
71;22 Jump Street;2014
72;23;1998
73;23rd March 1931: Shaheed;2002
74;24 City;2008
75;24 Hour Party People;2002
76;25th Hour;2002
77;27 Dresses;2008
78;28 Days;2000
79;28 Days Later;2002
80;28 Weeks Later;2007
81;28 up;1984
82;29th Street;1991
83;3 Dev Adam;1973
84;3 Ring Circus;1954
85;3,2,1... Frankie Go Boom;2012
86;30 Days of Night;2007
87;30 Minutes or Less;2011
88;300;2007
89;3000 Miles to Graceland;2001
90;300: Rise of an Empire;2013
91;31;2016
92;35 Shots of Rum;2009
93;35 up;1991
94;36 China Town;2006
95;36 Ghante;1974
96;360;2011
97;4 Months, 3 Weeks and 2 Days;2007
98;40 Days and 40 Nights;2002
99;404;2011
100;42 up;1998
101;42nd Street;1933
102;47 Ronin;2013
103;48 Hrs.;1982
104;49 up;2005
105;49th Parallel;1941
106;4D Man;1959
107;5 Broken Cameras;2011
108;5 Card Stud;1968
109;5 Centimeters Per Second;2007
110;5 Fingers;1952
111;50 First Dates;2004
112;50 Ways of Saying Fabulous;2005}
113;50/50;2011
114;52 Pick-Up;1986
115;52 Tuesdays;2014
116;5ive Girls;2006
117;5x2;2004
118;61*;2001
119;633 Squadron;1964
120;64: Part I;2016
121;64: Part II;2016
122;7 Women;1966
123;708090;2015
124;7:35 in the Morning;2003
